Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating
The Shawshank Redemption,1994,A,142 min,Drama,9.3
The Godfather,1972,A,175 min,"Crime, Drama",9.2
The Dark Knight,2008,UA,152 min,"Action, Crime, Drama",9
The Godfather: Part II,1974,A,202 min,"Crime, Drama",9
12 Angry Men,1957,U,96 min,"Crime, Drama",9
The Lord of the Rings: The Return of the King,2003,U,201 min,"Action, Adventure, Drama",8.9
Pulp Fiction,1994,A,154 min,"Crime, Drama",8.9
Schindler's List,1993,A,195 min,"Biography, Drama, History",8.9
Inception,2010,UA,148 min,"Action, Adventure, Sci-Fi",8.8
Fight Club,1999,A,139 min,Drama,8.8
The Lord of the Rings: The Fellowship of the Ring,2001,U,178 min,"Action, Adventure, Drama",8.8
Forrest Gump,1994,UA,142 min,"Drama, Romance",8.8
"Il buono, il brutto, il cattivo",1966,A,161 min,Western,8.8
The Lord of the Rings: The Two Towers,2002,UA,179 min,"Action, Adventure, Drama",8.7
The Matrix,1999,A,136 min,"Action, Sci-Fi",8.7
Goodfellas,1990,A,146 min,"Biography, Crime, Drama",8.7
Star Wars: Episode V - The Empire Strikes Back,1980,UA,124 min,"Action, Adventure, Fantasy",8.7
One Flew Over the Cuckoo's Nest,1975,A,133 min,Drama,8.7
Hamilton,2020,PG-13,160 min,"Biography, Drama, History",8.6
Gisaengchung,2019,A,132 min,"Comedy, Drama, Thriller",8.6
Soorarai Pottru,2020,U,153 min,Drama,8.6
Interstellar,2014,UA,169 min,"Adventure, Drama, Sci-Fi",8.6
Cidade de Deus,2002,A,130 min,"Crime, Drama",8.6
Sen to Chihiro no kamikakushi,2001,U,125 min,"Animation, Adventure, Family",8.6
Saving Private Ryan,1998,R,169 min,"Drama, War",8.6
The Green Mile,1999,A,189 min,"Crime, Drama, Fantasy",8.6
La vita è bella,1997,U,116 min,"Comedy, Drama, Romance",8.6
Se7en,1995,A,127 min,"Crime, Drama, Mystery",8.6
The Silence of the Lambs,1991,A,118 min,"Crime, Drama, Thriller",8.6
Star Wars,1977,UA,121 min,"Action, Adventure, Fantasy",8.6
Seppuku,1962,,133 min,"Action, Drama, Mystery",8.6
Shichinin no samurai,1954,U,207 min,"Action, Adventure, Drama",8.6
It's a Wonderful Life,1946,PG,130 min,"Drama, Family, Fantasy",8.6
Joker,2019,A,122 min,"Crime, Drama, Thriller",8.5
Whiplash,2014,A,106 min,"Drama, Music",8.5
The Intouchables,2011,UA,112 min,"Biography, Comedy, Drama",8.5
The Prestige,2006,U,130 min,"Drama, Mystery, Sci-Fi",8.5
The Departed,2006,A,151 min,"Crime, Drama, Thriller",8.5
The Pianist,2002,R,150 min,"Biography, Drama, Music",8.5
Gladiator,2000,UA,155 min,"Action, Adventure, Drama",8.5
American History X,1998,R,119 min,Drama,8.5
The Usual Suspects,1995,A,106 min,"Crime, Mystery, Thriller",8.5
Léon,1994,A,110 min,"Action, Crime, Drama",8.5
The Lion King,1994,U,88 min,"Animation, Adventure, Drama",8.5
Terminator 2: Judgment Day,1991,U,137 min,"Action, Sci-Fi",8.5
Nuovo Cinema Paradiso,1988,U,155 min,"Drama, Romance",8.5
Hotaru no haka,1988,U,89 min,"Animation, Drama, War",8.5
Back to the Future,1985,U,116 min,"Adventure, Comedy, Sci-Fi",8.5
Once Upon a Time in the West,1968,U,165 min,Western,8.5
Psycho,1960,A,109 min,"Horror, Mystery, Thriller",8.5
Casablanca,1942,U,102 min,"Drama, Romance, War",8.5
Modern Times,1936,G,87 min,"Comedy, Drama, Family",8.5
City Lights,1931,G,87 min,"Comedy, Drama, Romance",8.5
Capharnaüm,2018,A,126 min,Drama,8.4
Ayla: The Daughter of War,2017,,125 min,"Biography, Drama, History",8.4
Vikram Vedha,2017,UA,147 min,"Action, Crime, Drama",8.4
Kimi no na wa.,2016,U,106 min,"Animation, Drama, Fantasy",8.4
Dangal,2016,U,161 min,"Action, Biography, Drama",8.4
Spider-Man: Into the Spider-Verse,2018,U,117 min,"Animation, Action, Adventure",8.4
Avengers: Endgame,2019,UA,181 min,"Action, Adventure, Drama",8.4
Avengers: Infinity War,2018,UA,149 min,"Action, Adventure, Sci-Fi",8.4
Coco,2017,U,105 min,"Animation, Adventure, Family",8.4
Django Unchained,2012,A,165 min,"Drama, Western",8.4
The Dark Knight Rises,2012,UA,164 min,"Action, Adventure",8.4
3 Idiots,2009,UA,170 min,"Comedy, Drama",8.4
Taare Zameen Par,2007,U,165 min,"Drama, Family",8.4
WALL·E,2008,U,98 min,"Animation, Adventure, Family",8.4
The Lives of Others,2006,A,137 min,"Drama, Mystery, Thriller",8.4
Oldeuboi,2003,A,101 min,"Action, Drama, Mystery",8.4
Memento,2000,UA,113 min,"Mystery, Thriller",8.4
Mononoke-hime,1997,U,134 min,"Animation, Action, Adventure",8.4
Once Upon a Time in America,1984,A,229 min,"Crime, Drama",8.4
Raiders of the Lost Ark,1981,A,115 min,"Action, Adventure",8.4
The Shining,1980,A,146 min,"Drama, Horror",8.4
Apocalypse Now,1979,R,147 min,"Drama, Mystery, War",8.4
Alien,1979,R,117 min,"Horror, Sci-Fi",8.4
Anand,1971,U,122 min,"Drama, Musical",8.4
Tengoku to jigoku,1963,,143 min,"Crime, Drama, Mystery",8.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,A,95 min,Comedy,8.4
Witness for the Prosecution,1957,U,116 min,"Crime, Drama, Mystery",8.4
Paths of Glory,1957,A,88 min,"Drama, War",8.4
Rear Window,1954,U,112 min,"Mystery, Thriller",8.4
Sunset Blvd.,1950,Passed,110 min,"Drama, Film-Noir",8.4
The Great Dictator,1940,Passed,125 min,"Comedy, Drama, War",8.4
1917,2019,R,119 min,"Drama, Thriller, War",8.3
Tumbbad,2018,A,104 min,"Drama, Fantasy, Horror",8.3
Andhadhun,2018,UA,139 min,"Crime, Drama, Music",8.3
Drishyam,2013,U,160 min,"Crime, Drama, Thriller",8.3
Jagten,2012,R,115 min,Drama,8.3
Jodaeiye Nader az Simin,2011,PG-13,123 min,Drama,8.3
Incendies,2010,R,131 min,"Drama, Mystery, War",8.3
Miracle in cell NO.7,2019,TV-14,132 min,Drama,8.3
Babam ve Oglum,2005,,112 min,"Drama, Family",8.3
Inglourious Basterds,2009,A,153 min,"Adventure, Drama, War",8.3
Eternal Sunshine of the Spotless Mind,2004,UA,108 min,"Drama, Romance, Sci-Fi",8.3
Amélie,2001,U,122 min,"Comedy, Romance",8.3
Snatch,2000,UA,104 min,"Comedy, Crime",8.3
Requiem for a Dream,2000,A,102 min,Drama,8.3
American Beauty,1999,UA,122 min,Drama,8.3
Good Will Hunting,1997,U,126 min,"Drama, Romance",8.3
Bacheha-Ye aseman,1997,PG,89 min,"Drama, Family, Sport",8.3
Toy Story,1995,U,81 min,"Animation, Adventure, Comedy",8.3
Braveheart,1995,A,178 min,"Biography, Drama, History",8.3
Reservoir Dogs,1992,R,99 min,"Crime, Drama, Thriller",8.3
Full Metal Jacket,1987,UA,116 min,"Drama, War",8.3
Idi i smotri,1985,A,142 min,"Drama, Thriller, War",8.3
Aliens,1986,U,137 min,"Action, Adventure, Sci-Fi",8.3
Amadeus,1984,R,160 min,"Biography, Drama, History",8.3
Scarface,1983,A,170 min,"Crime, Drama",8.3
Star Wars: Episode VI - Return of the Jedi,1983,U,131 min,"Action, Adventure, Fantasy",8.3
Das Boot,1981,R,149 min,"Adventure, Drama, Thriller",8.3
Taxi Driver,1976,A,114 min,"Crime, Drama",8.3
The Sting,1973,U,129 min,"Comedy, Crime, Drama",8.3
A Clockwork Orange,1971,A,136 min,"Crime, Drama, Sci-Fi",8.3
2001: A Space Odyssey,1968,U,149 min,"Adventure, Sci-Fi",8.3
Per qualche dollaro in più,1965,U,132 min,Western,8.3
Lawrence of Arabia,1962,U,228 min,"Adventure, Biography, Drama",8.3
The Apartment,1960,U,125 min,"Comedy, Drama, Romance",8.3
North by Northwest,1959,U,136 min,"Adventure, Mystery, Thriller",8.3
Vertigo,1958,A,128 min,"Mystery, Romance, Thriller",8.3
Singin' in the Rain,1952,G,103 min,"Comedy, Musical, Romance",8.3
Ikiru,1952,,143 min,Drama,8.3
Ladri di biciclette,1948,,89 min,Drama,8.3
Double Indemnity,1944,Passed,107 min,"Crime, Drama, Film-Noir",8.3
Citizen Kane,1941,UA,119 min,"Drama, Mystery",8.3
M - Eine Stadt sucht einen Mörder,1931,Passed,117 min,"Crime, Mystery, Thriller",8.3
Metropolis,1927,,153 min,"Drama, Sci-Fi",8.3
The Kid,1921,Passed,68 min,"Comedy, Drama, Family",8.3
Chhichhore,2019,UA,143 min,"Comedy, Drama",8.2
Uri: The Surgical Strike,2018,UA,138 min,"Action, Drama, War",8.2
K.G.F: Chapter 1,2018,UA,156 min,"Action, Drama",8.2
Green Book,2018,UA,130 min,"Biography, Comedy, Drama",8.2
"Three Billboards Outside Ebbing, Missouri",2017,A,115 min,"Comedy, Crime, Drama",8.2
Talvar,2015,UA,132 min,"Crime, Drama, Mystery",8.2
Baahubali 2: The Conclusion,2017,UA,167 min,"Action, Drama",8.2
Klaus,2019,PG,96 min,"Animation, Adventure, Comedy",8.2
Drishyam,2015,UA,163 min,"Crime, Drama, Mystery",8.2
Queen,2013,UA,146 min,"Adventure, Comedy, Drama",8.2
Mandariinid,2013,,87 min,"Drama, War",8.2
Bhaag Milkha Bhaag,2013,U,186 min,"Biography, Drama, Sport",8.2
Gangs of Wasseypur,2012,A,321 min,"Action, Comedy, Crime",8.2
Udaan,2010,UA,134 min,Drama,8.2
Paan Singh Tomar,2012,UA,135 min,"Action, Biography, Crime",8.2
El secreto de sus ojos,2009,R,129 min,"Drama, Mystery, Romance",8.2
Warrior,2011,UA,140 min,"Action, Drama, Sport",8.2
Shutter Island,2010,A,138 min,"Mystery, Thriller",8.2
Up,2009,U,96 min,"Animation, Adventure, Comedy",8.2
The Wolf of Wall Street,2013,A,180 min,"Biography, Crime, Drama",8.2
Chak De! India,2007,U,153 min,"Drama, Family, Sport",8.2
There Will Be Blood,2007,A,158 min,Drama,8.2
Pan's Labyrinth,2006,UA,118 min,"Drama, Fantasy, War",8.2
Toy Story 3,2010,U,103 min,"Animation, Adventure, Comedy",8.2
V for Vendetta,2005,A,132 min,"Action, Drama, Sci-Fi",8.2
Rang De Basanti,2006,UA,167 min,"Comedy, Crime, Drama",8.2
Black,2005,U,122 min,Drama,8.2
Batman Begins,2005,UA,140 min,"Action, Adventure",8.2
"Swades: We, the People",2004,U,210 min,Drama,8.2
Der Untergang,2004,R,156 min,"Biography, Drama, History",8.2
Hauru no ugoku shiro,2004,U,119 min,"Animation, Adventure, Family",8.2
A Beautiful Mind,2001,UA,135 min,"Biography, Drama",8.2
Hera Pheri,2000,U,156 min,"Action, Comedy, Crime",8.2
"Lock, Stock and Two Smoking Barrels",1998,A,107 min,"Action, Comedy, Crime",8.2
L.A. Confidential,1997,A,138 min,"Crime, Drama, Mystery",8.2
Eskiya,1996,,128 min,"Crime, Drama, Thriller",8.2
Heat,1995,A,170 min,"Crime, Drama, Thriller",8.2
Casino,1995,A,178 min,"Crime, Drama",8.2
Andaz Apna Apna,1994,U,160 min,"Action, Comedy, Romance",8.2
Unforgiven,1992,A,130 min,"Drama, Western",8.2
Indiana Jones and the Last Crusade,1989,U,127 min,"Action, Adventure",8.2
Dom za vesanje,1988,R,142 min,"Comedy, Crime, Drama",8.2
Tonari no Totoro,1988,U,86 min,"Animation, Family, Fantasy",8.2
Die Hard,1988,A,132 min,"Action, Thriller",8.2
Ran,1985,U,162 min,"Action, Drama, War",8.2
Raging Bull,1980,A,129 min,"Biography, Drama, Sport",8.2
Stalker,1979,U,162 min,"Drama, Sci-Fi",8.2
Höstsonaten,1978,U,99 min,"Drama, Music",8.2
The Message,1976,PG,177 min,"Biography, Drama, History",8.2
Sholay,1975,U,204 min,"Action, Adventure, Comedy",8.2
Monty Python and the Holy Grail,1975,PG,91 min,"Adventure, Comedy, Fantasy",8.2
The Great Escape,1963,U,172 min,"Adventure, Drama, History",8.2
To Kill a Mockingbird,1962,U,129 min,"Crime, Drama",8.2
Yôjinbô,1961,,110 min,"Action, Drama, Thriller",8.2
Judgment at Nuremberg,1961,A,179 min,"Drama, War",8.2
Some Like It Hot,1959,U,121 min,"Comedy, Music, Romance",8.2
Smultronstället,1957,U,91 min,"Drama, Romance",8.2
Det sjunde inseglet,1957,A,96 min,"Drama, Fantasy, History",8.2
Du rififi chez les hommes,1955,,118 min,"Crime, Drama, Thriller",8.2
Dial M for Murder,1954,A,105 min,"Crime, Thriller",8.2
Tôkyô monogatari,1953,U,136 min,Drama,8.2
Rashômon,1950,,88 min,"Crime, Drama, Mystery",8.2
All About Eve,1950,Passed,138 min,Drama,8.2
The Treasure of the Sierra Madre,1948,Passed,126 min,"Adventure, Drama, Western",8.2
To Be or Not to Be,1942,Passed,99 min,"Comedy, War",8.2
The Gold Rush,1925,Passed,95 min,"Adventure, Comedy, Drama",8.2
Sherlock Jr.,1924,Passed,45 min,"Action, Comedy, Romance",8.2
Portrait de la jeune fille en feu,2019,R,122 min,"Drama, Romance",8.1
Pink,2016,UA,136 min,"Drama, Thriller",8.1
Koe no katachi,2016,16,130 min,"Animation, Drama, Family",8.1
Contratiempo,2016,TV-MA,106 min,"Crime, Drama, Mystery",8.1
Ah-ga-ssi,2016,A,145 min,"Drama, Romance, Thriller",8.1
Mommy,2014,R,139 min,Drama,8.1
Haider,2014,UA,160 min,"Action, Crime, Drama",8.1
Logan,2017,A,137 min,"Action, Drama, Sci-Fi",8.1
Room,2015,R,118 min,"Drama, Thriller",8.1
Relatos salvajes,2014,R,122 min,"Comedy, Drama, Thriller",8.1
Soul,2020,U,100 min,"Animation, Adventure, Comedy",8.1
Kis Uykusu,2014,,196 min,Drama,8.1
PK,2014,UA,153 min,"Comedy, Drama, Musical",8.1
OMG: Oh My God!,2012,U,125 min,"Comedy, Drama, Fantasy",8.1
The Grand Budapest Hotel,2014,UA,99 min,"Adventure, Comedy, Crime",8.1
Gone Girl,2014,A,149 min,"Drama, Mystery, Thriller",8.1
Ôkami kodomo no Ame to Yuki,2012,U,117 min,"Animation, Drama, Fantasy",8.1
Hacksaw Ridge,2016,A,139 min,"Biography, Drama, History",8.1
Inside Out,2015,U,95 min,"Animation, Adventure, Comedy",8.1
Barfi!,2012,U,151 min,"Comedy, Drama, Romance",8.1
12 Years a Slave,2013,A,134 min,"Biography, Drama, History",8.1
Rush,2013,UA,123 min,"Action, Biography, Drama",8.1
Ford v Ferrari,2019,UA,152 min,"Action, Biography, Drama",8.1
Spotlight,2015,A,129 min,"Biography, Crime, Drama",8.1
Song of the Sea,2014,PG,93 min,"Animation, Adventure, Drama",8.1
Kahaani,2012,UA,122 min,"Mystery, Thriller",8.1
Zindagi Na Milegi Dobara,2011,U,155 min,"Comedy, Drama",8.1
Prisoners,2013,A,153 min,"Crime, Drama, Mystery",8.1
Mad Max: Fury Road,2015,UA,120 min,"Action, Adventure, Sci-Fi",8.1
A Wednesday,2008,UA,104 min,"Action, Crime, Drama",8.1
Gran Torino,2008,R,116 min,Drama,8.1
Harry Potter and the Deathly Hallows: Part 2,2011,UA,130 min,"Adventure, Drama, Fantasy",8.1
Okuribito,2008,PG-13,130 min,"Drama, Music",8.1
Hachi: A Dog's Tale,2009,G,93 min,"Biography, Drama, Family",8.1
Mary and Max,2009,,92 min,"Animation, Comedy, Drama",8.1
How to Train Your Dragon,2010,U,98 min,"Animation, Action, Adventure",8.1
Into the Wild,2007,R,148 min,"Adventure, Biography, Drama",8.1
No Country for Old Men,2007,R,122 min,"Crime, Drama, Thriller",8.1
Lage Raho Munna Bhai,2006,U,144 min,"Comedy, Drama, Romance",8.1
Million Dollar Baby,2004,UA,132 min,"Drama, Sport",8.1
Hotel Rwanda,2004,PG-13,121 min,"Biography, Drama, History",8.1
Taegukgi hwinalrimyeo,2004,R,140 min,"Action, Drama, War",8.1
Before Sunset,2004,R,80 min,"Drama, Romance",8.1
Munna Bhai M.B.B.S.,2003,U,156 min,"Comedy, Drama, Musical",8.1
Salinui chueok,2003,UA,131 min,"Crime, Drama, Mystery",8.1
Dil Chahta Hai,2001,Unrated,183 min,"Comedy, Drama, Romance",8.1
Kill Bill: Vol. 1,2003,R,111 min,"Action, Crime, Drama",8.1
Finding Nemo,2003,U,100 min,"Animation, Adventure, Comedy",8.1
Catch Me If You Can,2002,A,141 min,"Biography, Crime, Drama",8.1
Amores perros,2000,A,154 min,"Drama, Thriller",8.1
"Monsters, Inc.",2001,U,92 min,"Animation, Adventure, Comedy",8.1
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,UA,87 min,"Animation, Action, Drama",8.1
Lagaan: Once Upon a Time in India,2001,U,224 min,"Adventure, Drama, Musical",8.1
The Sixth Sense,1999,A,107 min,"Drama, Mystery, Thriller",8.1
La leggenda del pianista sull'oceano,1998,U,169 min,"Drama, Music, Romance",8.1
The Truman Show,1998,U,103 min,"Comedy, Drama",8.1
"Crna macka, beli macor",1998,R,127 min,"Comedy, Crime, Romance",8.1
The Big Lebowski,1998,R,117 min,"Comedy, Crime, Sport",8.1
Fa yeung nin wah,2000,U,98 min,"Drama, Romance",8.1
Trainspotting,1996,A,93 min,Drama,8.1
Fargo,1996,A,98 min,"Crime, Drama, Thriller",8.1
Underground,1995,,170 min,"Comedy, Drama, War",8.1
La haine,1995,UA,98 min,"Crime, Drama",8.1
Dilwale Dulhania Le Jayenge,1995,U,189 min,"Drama, Romance",8.1
Before Sunrise,1995,R,101 min,"Drama, Romance",8.1
Trois couleurs: Rouge,1994,U,99 min,"Drama, Mystery, Romance",8.1
Chung Hing sam lam,1994,U,102 min,"Comedy, Crime, Drama",8.1
Jurassic Park,1993,UA,127 min,"Action, Adventure, Sci-Fi",8.1
In the Name of the Father,1993,UA,133 min,"Biography, Crime, Drama",8.1
Ba wang bie ji,1993,R,171 min,"Drama, Music, Romance",8.1
Dà hóng denglong gaogao guà,1991,PG,125 min,"Drama, History, Romance",8.1
Dead Poets Society,1989,U,128 min,"Comedy, Drama",8.1
Stand by Me,1986,U,89 min,"Adventure, Drama",8.1
Platoon,1986,A,120 min,"Drama, War",8.1
"Paris, Texas",1984,U,145 min,Drama,8.1
Kaze no tani no Naushika,1984,U,117 min,"Animation, Adventure, Fantasy",8.1
The Thing,1982,A,109 min,"Horror, Mystery, Sci-Fi",8.1
Pink Floyd: The Wall,1982,UA,95 min,"Drama, Fantasy, Music",8.1
Fitzcarraldo,1982,R,158 min,"Adventure, Drama",8.1
Fanny och Alexander,1982,A,188 min,Drama,8.1
Blade Runner,1982,UA,117 min,"Action, Sci-Fi, Thriller",8.1
The Elephant Man,1980,UA,124 min,"Biography, Drama",8.1
Life of Brian,1979,R,94 min,Comedy,8.1
The Deer Hunter,1978,A,183 min,"Drama, War",8.1
Rocky,1976,U,120 min,"Drama, Sport",8.1
Network,1976,UA,121 min,Drama,8.1
Barry Lyndon,1975,PG,185 min,"Adventure, Drama, History",8.1
Zerkalo,1975,G,107 min,"Biography, Drama",8.1
Chinatown,1974,UA,130 min,"Drama, Mystery, Thriller",8.1
Paper Moon,1973,U,102 min,"Comedy, Crime, Drama",8.1
Viskningar och rop,1972,A,91 min,Drama,8.1
Solaris,1972,PG,167 min,"Drama, Mystery, Sci-Fi",8.1
Le samouraï,1967,GP,105 min,"Crime, Drama, Mystery",8.1
Cool Hand Luke,1967,A,127 min,"Crime, Drama",8.1
Persona,1966,,85 min,"Drama, Thriller",8.1
Andrei Rublev,1966,R,205 min,"Biography, Drama, History",8.1
La battaglia di Algeri,1966,,121 min,"Drama, War",8.1
El ángel exterminador,1962,,95 min,"Drama, Fantasy",8.1
What Ever Happened to Baby Jane?,1962,Passed,134 min,"Drama, Horror, Thriller",8.1
Sanjuro,1962,U,96 min,"Action, Comedy, Crime",8.1
The Man Who Shot Liberty Valance,1962,,123 min,"Drama, Western",8.1
Ivanovo detstvo,1962,,95 min,"Drama, War",8.1
Jungfrukällan,1960,A,89 min,Drama,8.1
Inherit the Wind,1960,Passed,128 min,"Biography, Drama, History",8.1
Les quatre cents coups,1959,,99 min,"Crime, Drama",8.1
Ben-Hur,1959,U,212 min,"Adventure, Drama, History",8.1
Kakushi-toride no san-akunin,1958,,139 min,"Adventure, Drama",8.1
Le notti di Cabiria,1957,,110 min,Drama,8.1
Kumonosu-jô,1957,,110 min,"Drama, History",8.1
The Bridge on the River Kwai,1957,PG,161 min,"Adventure, Drama, War",8.1
On the Waterfront,1954,A,108 min,"Crime, Drama, Thriller",8.1
Le salaire de la peur,1953,U,131 min,"Adventure, Drama, Thriller",8.1
Ace in the Hole,1951,Approved,111 min,"Drama, Film-Noir",8.1
White Heat,1949,,114 min,"Action, Crime, Drama",8.1
The Third Man,1949,Approved,104 min,"Film-Noir, Mystery, Thriller",8.1
The Red Shoes,1948,,135 min,"Drama, Music, Romance",8.1
The Shop Around the Corner,1940,,99 min,"Comedy, Drama, Romance",8.1
Rebecca,1940,Approved,130 min,"Drama, Mystery, Romance",8.1
Mr. Smith Goes to Washington,1939,Passed,129 min,"Comedy, Drama",8.1
Gone with the Wind,1939,U,238 min,"Drama, History, Romance",8.1
La Grande Illusion,1937,,113 min,"Drama, War",8.1
It Happened One Night,1934,Approved,105 min,"Comedy, Romance",8.1
La passion de Jeanne d'Arc,1928,Passed,110 min,"Biography, Drama, History",8.1
The Circus,1928,Passed,72 min,"Comedy, Romance",8.1
Sunrise: A Song of Two Humans,1927,Passed,94 min,"Drama, Romance",8.1
The General,1926,Passed,67 min,"Action, Adventure, Comedy",8.1
Das Cabinet des Dr. Caligari,1920,,76 min,"Fantasy, Horror, Mystery",8.1
Badhaai ho,2018,UA,124 min,"Comedy, Drama",8
Togo,2019,U,113 min,"Adventure, Biography, Drama",8
Airlift,2016,UA,130 min,"Drama, History",8
Bajrangi Bhaijaan,2015,UA,163 min,"Action, Adventure, Comedy",8
Baby,2015,UA,159 min,"Action, Crime, Thriller",8
La La Land,2016,A,128 min,"Comedy, Drama, Music",8
Lion,2016,U,118 min,"Biography, Drama",8
The Martian,2015,UA,144 min,"Adventure, Drama, Sci-Fi",8
Zootopia,2016,U,108 min,"Animation, Adventure, Comedy",8
Bãhubali: The Beginning,2015,UA,159 min,"Action, Drama",8
