Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating
Night on Earth,1991,R,129 min,"Comedy, Drama",7.8
La double vie de Véronique,1991,R,98 min,"Drama, Fantasy, Music",7.8
Boyz n the Hood,1991,A,112 min,"Crime, Drama",7.8
Misery,1990,R,107 min,"Drama, Thriller",7.8
Awakenings,1990,U,121 min,"Biography, Drama",7.8
Majo no takkyûbin,1989,U,103 min,"Animation, Adventure, Drama",7.8
Glory,1989,R,122 min,"Biography, Drama, History",7.8
Dip huet seung hung,1989,R,111 min,"Action, Crime, Drama",7.8
Back to the Future Part II,1989,U,108 min,"Adventure, Comedy, Sci-Fi",7.8
Mississippi Burning,1988,A,128 min,"Crime, Drama, History",7.8
Predator,1987,A,107 min,"Action, Adventure, Sci-Fi",7.8
Evil Dead II,1987,A,84 min,"Action, Comedy, Fantasy",7.8
Ferris Bueller's Day Off,1986,U,103 min,Comedy,7.8
Down by Law,1986,R,107 min,"Comedy, Crime, Drama",7.8
The Goonies,1985,U,114 min,"Adventure, Comedy, Family",7.8
The Color Purple,1985,U,154 min,Drama,7.8
The Breakfast Club,1985,UA,97 min,"Comedy, Drama",7.8
The Killing Fields,1984,UA,141 min,"Biography, Drama, History",7.8
Ghostbusters,1984,UA,105 min,"Action, Comedy, Fantasy",7.8
The Right Stuff,1983,PG,193 min,"Adventure, Biography, Drama",7.8
The King of Comedy,1982,U,109 min,"Comedy, Crime, Drama",7.8
E.T. the Extra-Terrestrial,1982,U,115 min,"Family, Sci-Fi",7.8
Kramer vs. Kramer,1979,A,105 min,Drama,7.8
Days of Heaven,1978,PG,94 min,"Drama, Romance",7.8
The Outlaw Josey Wales,1976,A,135 min,Western,7.8
The Man Who Would Be King,1975,PG,129 min,"Adventure, History, War",7.8
The Conversation,1974,U,113 min,"Drama, Mystery, Thriller",7.8
La planète sauvage,1973,U,72 min,"Animation, Sci-Fi",7.8
The Day of the Jackal,1973,A,143 min,"Crime, Drama, Thriller",7.8
Badlands,1973,PG,94 min,"Action, Crime, Drama",7.8
Cabaret,1972,A,124 min,"Drama, Music, Musical",7.8
Willy Wonka & the Chocolate Factory,1971,U,100 min,"Family, Fantasy, Musical",7.8
Midnight Cowboy,1969,A,113 min,Drama,7.8
Wait Until Dark,1967,,108 min,Thriller,7.8
Guess Who's Coming to Dinner,1967,,108 min,"Comedy, Drama",7.8
Bonnie and Clyde,1967,A,111 min,"Action, Biography, Crime",7.8
My Fair Lady,1964,U,170 min,"Drama, Family, Musical",7.8
Mary Poppins,1964,U,139 min,"Comedy, Family, Fantasy",7.8
The Longest Day,1962,G,178 min,"Action, Drama, History",7.8
Jules et Jim,1962,,105 min,"Drama, Romance",7.8
The Innocents,1961,A,100 min,Horror,7.8
À bout de souffle,1960,U,90 min,"Crime, Drama",7.8
Red River,1948,Passed,133 min,"Action, Adventure, Drama",7.8
Key Largo,1948,,100 min,"Action, Crime, Drama",7.8
To Have and Have Not,1944,PG,100 min,"Adventure, Comedy, Film-Noir",7.8
Shadow of a Doubt,1943,PG,108 min,"Film-Noir, Thriller",7.8
Stagecoach,1939,Passed,96 min,"Adventure, Drama, Western",7.8
The Lady Vanishes,1938,,96 min,"Mystery, Thriller",7.8
Bringing Up Baby,1938,Passed,102 min,"Comedy, Family, Romance",7.8
Bride of Frankenstein,1935,,75 min,"Drama, Horror, Sci-Fi",7.8
Duck Soup,1933,,69 min,"Comedy, Musical, War",7.8
Scarface: The Shame of the Nation,1932,PG,93 min,"Action, Crime, Drama",7.8
Frankenstein,1931,Passed,70 min,"Drama, Horror, Sci-Fi",7.8
Roma,2018,R,135 min,Drama,7.7
God's Own Country,2017,,104 min,"Drama, Romance",7.7
Deadpool 2,2018,R,119 min,"Action, Adventure, Comedy",7.7
Wind River,2017,R,107 min,"Crime, Drama, Mystery",7.7
Get Out,2017,R,104 min,"Horror, Mystery, Thriller",7.7
Mission: Impossible - Fallout,2018,UA,147 min,"Action, Adventure, Thriller",7.7
En man som heter Ove,2015,PG-13,116 min,"Comedy, Drama, Romance",7.7
What We Do in the Shadows,2014,R,86 min,"Comedy, Horror",7.7
Omoide no Mânî,2014,U,103 min,"Animation, Drama, Family",7.7
The Theory of Everything,2014,U,123 min,"Biography, Drama, Romance",7.7
Kingsman: The Secret Service,2014,A,129 min,"Action, Adventure, Comedy",7.7
The Fault in Our Stars,2014,UA,126 min,"Drama, Romance",7.7
Me and Earl and the Dying Girl,2015,PG-13,105 min,"Comedy, Drama",7.7
Birdman or (The Unexpected Virtue of Ignorance),2014,A,119 min,"Comedy, Drama",7.7
La vie d'Adèle,2013,A,180 min,"Drama, Romance",7.7
Kai po che!,2013,U,130 min,"Drama, Sport",7.7
The Broken Circle Breakdown,2012,,111 min,"Drama, Music, Romance",7.7
Captain America: The Winter Soldier,2014,UA,136 min,"Action, Adventure, Sci-Fi",7.7
Rockstar,2011,UA,159 min,"Drama, Music, Musical",7.7
Nebraska,2013,UA,115 min,"Adventure, Comedy, Drama",7.7
Wreck-It Ralph,2012,U,101 min,"Animation, Adventure, Comedy",7.7
Le Petit Prince,2015,PG,108 min,"Animation, Adventure, Drama",7.7
Detachment,2011,,98 min,Drama,7.7
Midnight in Paris,2011,PG-13,96 min,"Comedy, Fantasy, Romance",7.7
The Lego Movie,2014,U,100 min,"Animation, Action, Adventure",7.7
Gravity,2013,UA,91 min,"Drama, Sci-Fi, Thriller",7.7
Star Trek Into Darkness,2013,UA,132 min,"Action, Adventure, Sci-Fi",7.7
Beasts of No Nation,2015,,137 min,"Drama, War",7.7
The Social Network,2010,UA,120 min,"Biography, Drama",7.7
X: First Class,2011,UA,131 min,"Action, Adventure, Sci-Fi",7.7
The Hangover,2009,UA,100 min,Comedy,7.7
Skyfall,2012,UA,143 min,"Action, Adventure, Thriller",7.7
Silver Linings Playbook,2012,A,122 min,"Comedy, Drama, Romance",7.7
Argo,2012,A,120 min,"Biography, Drama, Thriller",7.7
(500) Days of Summer,2009,UA,95 min,"Comedy, Drama, Romance",7.7
Harry Potter and the Deathly Hallows: Part 1,2010,A,146 min,"Adventure, Family, Fantasy",7.7
Gake no ue no Ponyo,2008,U,101 min,"Animation, Adventure, Comedy",7.7
Frost/Nixon,2008,R,122 min,"Biography, Drama, History",7.7
Papurika,2006,U,90 min,"Animation, Drama, Fantasy",7.7
Changeling,2008,R,141 min,"Biography, Crime, Drama",7.7
Flipped,2010,PG,90 min,"Comedy, Drama, Romance",7.7
Toki o kakeru shôjo,2006,U,98 min,"Animation, Adventure, Comedy",7.7
Death Note: Desu nôto,2006,,126 min,"Crime, Drama, Fantasy",7.7
This Is England,2006,,101 min,"Crime, Drama",7.7
Ex Machina,2014,UA,108 min,"Drama, Sci-Fi, Thriller",7.7
Efter brylluppet,2006,R,120 min,Drama,7.7
The Last King of Scotland,2006,R,123 min,"Biography, Drama, History",7.7
Zodiac,2007,UA,157 min,"Crime, Drama, Mystery",7.7
Lucky Number Slevin,2006,R,110 min,"Action, Crime, Drama",7.7
Joyeux Noël,2005,PG-13,116 min,"Drama, History, Music",7.7
Control,2007,R,122 min,"Biography, Drama, Music",7.7
Tangled,2010,U,100 min,"Animation, Adventure, Comedy",7.7
Zwartboek,2006,R,145 min,"Drama, Thriller, War",7.7
Brokeback Mountain,2005,A,134 min,"Drama, Romance",7.7
3:10 to Yuma,2007,A,122 min,"Action, Crime, Drama",7.7
Crash,2004,UA,112 min,"Crime, Drama, Thriller",7.7
Kung fu,2004,UA,99 min,"Action, Comedy, Fantasy",7.7
The Bourne Supremacy,2004,A,108 min,"Action, Mystery, Thriller",7.7
The Machinist,2004,R,101 min,"Drama, Thriller",7.7
Ray,2004,A,152 min,"Biography, Drama, Music",7.7
Lost in Translation,2003,UA,102 min,"Comedy, Drama",7.7
Harry Potter and the Goblet of Fire,2005,UA,157 min,"Adventure, Family, Fantasy",7.7
Man on Fire,2004,UA,146 min,"Action, Crime, Drama",7.7
Coraline,2009,U,100 min,"Animation, Drama, Family",7.7
The Last Samurai,2003,UA,154 min,"Action, Drama",7.7
The Magdalene Sisters,2002,R,114 min,Drama,7.7
Good Bye Lenin!,2003,R,121 min,"Comedy, Drama, Romance",7.7
In America,2002,PG-13,105 min,Drama,7.7
I Am Sam,2001,PG-13,132 min,Drama,7.7
Adaptation.,2002,R,115 min,"Comedy, Drama",7.7
Black Hawk Down,2001,A,144 min,"Drama, History, War",7.7
Road to Perdition,2002,A,117 min,"Crime, Drama, Thriller",7.7
Das Experiment,2001,R,120 min,"Drama, Thriller",7.7
Billy Elliot,2000,R,110 min,"Drama, Music",7.7
Hedwig and the Angry Inch,2001,R,95 min,"Comedy, Drama, Music",7.7
Ocean's Eleven,2001,UA,116 min,"Crime, Thriller",7.7
Vampire Hunter D: Bloodlust,2000,U,103 min,"Animation, Action, Fantasy",7.7
"O Brother, Where Art Thou?",2000,U,107 min,"Adventure, Comedy, Crime",7.7
Interstate 60: Episodes of the Road,2002,R,116 min,"Adventure, Comedy, Drama",7.7
"South Park: Bigger, Longer & Uncut",1999,A,81 min,"Animation, Comedy, Fantasy",7.7
Office Space,1999,R,89 min,Comedy,7.7
Happiness,1998,,134 min,"Comedy, Drama",7.7
Training Day,2001,A,122 min,"Crime, Drama, Thriller",7.7
Rushmore,1998,UA,93 min,"Comedy, Drama, Romance",7.7
Abre los ojos,1997,U,119 min,"Drama, Mystery, Sci-Fi",7.7
Being John Malkovich,1999,R,113 min,"Comedy, Drama, Fantasy",7.7
As Good as It Gets,1997,A,139 min,"Comedy, Drama, Romance",7.7
The Fifth Element,1997,UA,126 min,"Action, Adventure, Sci-Fi",7.7
Le dîner de cons,1998,PG-13,80 min,Comedy,7.7
Donnie Brasco,1997,A,127 min,"Biography, Crime, Drama",7.7
Shine,1996,U,105 min,"Biography, Drama, Music",7.7
Primal Fear,1996,A,129 min,"Crime, Drama, Mystery",7.7
Hamlet,1996,PG-13,242 min,Drama,7.7
A Little Princess,1995,U,97 min,"Drama, Family, Fantasy",7.7
Do lok tin si,1995,UA,99 min,"Comedy, Crime, Drama",7.7
Il postino,1994,U,108 min,"Biography, Comedy, Drama",7.7
Clerks,1994,R,92 min,Comedy,7.7
Short Cuts,1993,R,188 min,"Comedy, Drama",7.7
Philadelphia,1993,UA,125 min,Drama,7.7
The Muppet Christmas Carol,1992,G,85 min,"Comedy, Drama, Family",7.7
Malcolm X,1992,U,202 min,"Biography, Drama, History",7.7
The Last of the Mohicans,1992,UA,112 min,"Action, Adventure, Drama",7.7
Kurenai no buta,1992,U,94 min,"Animation, Adventure, Comedy",7.7
Glengarry Glen Ross,1992,R,100 min,"Crime, Drama, Mystery",7.7
A Few Good Men,1992,U,138 min,"Drama, Thriller",7.7
Fried Green Tomatoes,1991,PG-13,130 min,Drama,7.7
Barton Fink,1991,U,116 min,"Comedy, Drama, Thriller",7.7
Miller's Crossing,1990,R,115 min,"Crime, Drama, Thriller",7.7
Who Framed Roger Rabbit,1988,U,104 min,"Animation, Adventure, Comedy",7.7
Spoorloos,1988,,107 min,"Mystery, Thriller",7.7
Withnail & I,1987,R,107 min,"Comedy, Drama",7.7
The Last Emperor,1987,U,163 min,"Biography, Drama, History",7.7
Empire of the Sun,1987,U,153 min,"Action, Drama, History",7.7
Der Name der Rose,1986,R,130 min,"Crime, Drama, Mystery",7.7
Blue Velvet,1986,A,120 min,"Drama, Mystery, Thriller",7.7
The Purple Rose of Cairo,1985,U,82 min,"Comedy, Fantasy, Romance",7.7
After Hours,1985,UA,97 min,"Comedy, Crime, Drama",7.7
Zelig,1983,PG,79 min,Comedy,7.7
The Verdict,1982,U,129 min,Drama,7.7
Star Trek II: The Wrath of Khan,1982,U,113 min,"Action, Adventure, Sci-Fi",7.7
First Blood,1982,A,93 min,"Action, Adventure",7.7
Ordinary People,1980,U,124 min,Drama,7.7
Airplane!,1980,U,88 min,Comedy,7.7
Rupan sansei: Kariosutoro no shiro,1979,U,100 min,"Animation, Adventure, Family",7.7
Halloween,1978,A,91 min,"Horror, Thriller",7.7
Le locataire,1976,R,126 min,"Drama, Thriller",7.7
Love and Death,1975,PG,85 min,"Comedy, War",7.7
The Taking of Pelham One Two Three,1974,U,104 min,"Action, Crime, Thriller",7.7
Blazing Saddles,1974,A,93 min,"Comedy, Western",7.7
Serpico,1973,A,130 min,"Biography, Crime, Drama",7.7
Enter the Dragon,1973,A,102 min,"Action, Crime, Drama",7.7
Deliverance,1972,U,109 min,"Adventure, Drama, Thriller",7.7
The French Connection,1971,A,104 min,"Action, Crime, Drama",7.7
Dirty Harry,1971,A,102 min,"Action, Crime, Thriller",7.7
Where Eagles Dare,1968,U,158 min,"Action, Adventure, War",7.7
The Odd Couple,1968,G,105 min,Comedy,7.7
The Dirty Dozen,1967,,150 min,"Action, Adventure, War",7.7
Belle de jour,1967,A,100 min,"Drama, Romance",7.7
A Man for All Seasons,1966,U,120 min,"Biography, Drama, History",7.7
Repulsion,1965,,105 min,"Drama, Horror, Thriller",7.7
Zulu,1964,U,138 min,"Drama, History, War",7.7
Goldfinger,1964,A,110 min,"Action, Adventure, Thriller",7.7
The Birds,1963,A,119 min,"Drama, Horror, Mystery",7.7
Cape Fear,1962,Passed,106 min,"Drama, Thriller",7.7
Peeping Tom,1960,,101 min,"Drama, Horror, Thriller",7.7
The Magnificent Seven,1960,Approved,128 min,"Action, Adventure, Western",7.7
Les yeux sans visage,1960,,90 min,"Drama, Horror",7.7
Invasion of the Body Snatchers,1956,Approved,80 min,"Drama, Horror, Sci-Fi",7.7
Rebel Without a Cause,1955,PG-13,111 min,Drama,7.7
The Ladykillers,1955,,91 min,"Comedy, Crime",7.7
Sabrina,1954,Passed,113 min,"Comedy, Drama, Romance",7.7
The Quiet Man,1952,Passed,129 min,"Comedy, Drama, Romance",7.7
The Day the Earth Stood Still,1951,U,92 min,"Drama, Sci-Fi",7.7
The African Queen,1951,PG,105 min,"Adventure, Drama, Romance",7.7
Gilda,1946,Approved,110 min,"Drama, Film-Noir, Romance",7.7
Fantasia,1940,G,125 min,"Animation, Family, Fantasy",7.7
The Invisible Man,1933,TV-PG,71 min,"Horror, Sci-Fi",7.7
Dark Waters,2019,PG-13,126 min,"Biography, Drama, History",7.6
Searching,2018,U/A,102 min,"Drama, Mystery, Thriller",7.6
Once Upon a Time... in Hollywood,2019,A,161 min,"Comedy, Drama",7.6
Nelyubov,2017,R,127 min,Drama,7.6
The Florida Project,2017,A,111 min,Drama,7.6
Just Mercy,2019,A,137 min,"Biography, Crime, Drama",7.6
Gifted,2017,PG-13,101 min,Drama,7.6
The Peanut Butter Falcon,2019,PG-13,97 min,"Adventure, Comedy, Drama",7.6
Victoria,2015,,138 min,"Crime, Drama, Romance",7.6
Mustang,2015,PG-13,97 min,Drama,7.6
Guardians of the Galaxy Vol. 2,2017,UA,136 min,"Action, Adventure, Comedy",7.6
Baby Driver,2017,UA,113 min,"Action, Crime, Drama",7.6
Only the Brave,2017,UA,134 min,"Action, Biography, Drama",7.6
Bridge of Spies,2015,UA,142 min,"Drama, History, Thriller",7.6
Incredibles 2,2018,UA,118 min,"Animation, Action, Adventure",7.6
Moana,2016,U,107 min,"Animation, Adventure, Comedy",7.6
Sicario,2015,A,121 min,"Action, Crime, Drama",7.6
Creed,2015,A,133 min,"Drama, Sport",7.6
Leviafan,2014,R,140 min,"Crime, Drama",7.6
Hell or High Water,2016,R,102 min,"Action, Crime, Drama",7.6
Philomena,2013,PG-13,98 min,"Biography, Comedy, Drama",7.6
Dawn of the Planet of the Apes,2014,UA,130 min,"Action, Adventure, Drama",7.6
El cuerpo,2012,,112 min,"Mystery, Thriller",7.6
Serbuan maut,2011,A,101 min,"Action, Thriller",7.6
End of Watch,2012,A,109 min,"Action, Crime, Drama",7.6
Kari-gurashi no Arietti,2010,U,94 min,"Animation, Adventure, Family",7.6
A Star Is Born,2018,UA,136 min,"Drama, Music, Romance",7.6
True Grit,2010,PG-13,110 min,"Drama, Western",7.6
Hævnen,2010,R,118 min,"Drama, Romance",7.6
Despicable Me,2010,U,95 min,"Animation, Comedy, Crime",7.6
50/50,2011,R,100 min,"Comedy, Drama, Romance",7.6
Kick-Ass,2010,UA,117 min,"Action, Comedy, Crime",7.6
Celda 211,2009,,113 min,"Action, Adventure, Crime",7.6
Moneyball,2011,PG-13,133 min,"Biography, Drama, Sport",7.6
La piel que habito,2011,R,120 min,"Drama, Horror, Thriller",7.6
Zombieland,2009,A,88 min,"Adventure, Comedy, Fantasy",7.6
Die Welle,2008,,107 min,"Drama, Thriller",7.6
Sherlock Holmes,2009,PG-13,128 min,"Action, Adventure, Mystery",7.6
The Blind Side,2009,UA,129 min,"Biography, Drama, Sport",7.6
The Visitor,2007,PG-13,104 min,Drama,7.6
Seven Pounds,2008,UA,123 min,Drama,7.6
Eastern Promises,2007,R,100 min,"Action, Crime, Drama",7.6
Stardust,2007,U,127 min,"Adventure, Family, Fantasy",7.6
The Secret of Kells,2009,,71 min,"Animation, Adventure, Family",7.6
Inside Man,2006,R,129 min,"Crime, Drama, Mystery",7.6
Gone Baby Gone,2007,R,114 min,"Crime, Drama, Mystery",7.6
La Vie En Rose,2007,PG-13,140 min,"Biography, Drama, Music",7.6
Huo Yuan Jia,2006,PG-13,104 min,"Action, Biography, Drama",7.6
The Illusionist,2006,U,110 min,"Drama, Fantasy, Mystery",7.6
Dead Man's Shoes,2004,,90 min,"Crime, Drama, Thriller",7.6
Harry Potter and the Half-Blood Prince,2009,UA,153 min,"Action, Adventure, Family",7.6
300,2006,A,117 min,"Action, Drama",7.6
Match Point,2005,R,124 min,"Drama, Romance, Thriller",7.6
Watchmen,2009,A,162 min,"Action, Drama, Mystery",7.6
Lord of War,2005,R,122 min,"Action, Crime, Drama",7.6
Saw,2004,UA,103 min,"Horror, Mystery, Thriller",7.6
"Synecdoche, New York",2008,R,124 min,Drama,7.6
Mysterious Skin,2004,R,105 min,Drama,7.6
Jeux d'enfants,2003,R,93 min,"Comedy, Drama, Romance",7.6
Un long dimanche de fiançailles,2004,U,133 min,"Drama, Mystery, Romance",7.6
The Station Agent,2003,R,89 min,"Comedy, Drama",7.6
21 Grams,2003,UA,124 min,"Crime, Drama, Thriller",7.6
Boksuneun naui geot,2002,R,129 min,"Crime, Drama, Thriller",7.6
Finding Neverland,2004,U,106 min,"Biography, Drama, Family",7.6
25th Hour,2002,R,135 min,Drama,7.6
The Butterfly Effect,2004,U,113 min,"Drama, Sci-Fi, Thriller",7.6
28 Days Later...,2002,A,113 min,"Drama, Horror, Sci-Fi",7.6
Batoru rowaiaru,2000,,114 min,"Action, Adventure, Drama",7.6
The Royal Tenenbaums,2001,A,110 min,"Comedy, Drama",7.6
Y tu mamá también,2001,A,106 min,Drama,7.6
Harry Potter and the Sorcerer's Stone,2001,U,152 min,"Adventure, Family, Fantasy",7.6
The Others,2001,PG-13,101 min,"Horror, Mystery, Thriller",7.6
Blow,2001,R,124 min,"Biography, Crime, Drama",7.6
Enemy at the Gates,2001,A,131 min,"Drama, History, War",7.6
Minority Report,2002,A,145 min,"Action, Crime, Mystery",7.6
The Hurricane,1999,R,146 min,"Biography, Drama, Sport",7.6
American Psycho,2000,A,101 min,"Comedy, Crime, Drama",7.6
Lola rennt,1998,UA,81 min,"Crime, Drama, Thriller",7.6
The Thin Red Line,1998,A,170 min,"Drama, War",7.6
Mulan,1998,U,88 min,"Animation, Adventure, Family",7.6
Fear and Loathing in Las Vegas,1998,R,118 min,"Adventure, Comedy, Drama",7.6
Funny Games,1997,A,108 min,"Crime, Drama, Thriller",7.6
Dark City,1998,A,100 min,"Mystery, Sci-Fi, Thriller",7.6
Sleepers,1996,UA,147 min,"Crime, Drama, Thriller",7.6
Lost Highway,1997,A,134 min,"Mystery, Thriller",7.6
Sense and Sensibility,1995,U,136 min,"Drama, Romance",7.6
Die Hard: With a Vengeance,1995,A,128 min,"Action, Adventure, Thriller",7.6
Dead Man,1995,R,121 min,"Adventure, Drama, Fantasy",7.6
The Bridges of Madison County,1995,A,135 min,"Drama, Romance",7.6
Apollo 13,PG,U,140 min,"Adventure, Drama, History",7.6
Trois couleurs: Blanc,1994,U,92 min,"Comedy, Drama, Romance",7.6
Falling Down,1993,R,113 min,"Action, Crime, Drama",7.6
Dazed and Confused,1993,U,102 min,Comedy,7.6
My Cousin Vinny,1992,UA,120 min,"Comedy, Crime",7.6
Omohide poro poro,1991,U,118 min,"Animation, Drama, Romance",7.6
Delicatessen,1991,R,99 min,"Comedy, Crime",7.6
Home Alone,1990,U,103 min,"Comedy, Family",7.6
The Godfather: Part III,1990,A,162 min,"Crime, Drama",7.6
When Harry Met Sally...,1989,UA,95 min,"Comedy, Drama, Romance",7.6
The Little Mermaid,1989,U,83 min,"Animation, Family, Fantasy",7.6
The Naked Gun: From the Files of Police Squad!,1988,U,85 min,"Comedy, Crime",7.6
"Planes, Trains & Automobiles",1987,U,93 min,"Comedy, Drama",7.6
Lethal Weapon,1987,A,109 min,"Action, Crime, Thriller",7.6
Blood Simple,1984,A,99 min,"Crime, Drama, Thriller",7.6
On Golden Pond,1981,UA,109 min,Drama,7.6
Mad Max 2,1981,A,96 min,"Action, Adventure, Sci-Fi",7.6
The Warriors,1979,UA,92 min,"Action, Crime, Thriller",7.6
The Muppet Movie,1979,U,95 min,"Adventure, Comedy, Family",7.6
Escape from Alcatraz,1979,A,112 min,"Action, Biography, Crime",7.6
Watership Down,1978,U,91 min,"Animation, Adventure, Drama",7.6
Midnight Express,1978,A,121 min,"Biography, Crime, Drama",7.6
Close Encounters of the Third Kind,1977,U,138 min,"Drama, Sci-Fi",7.6
The Long Goodbye,1973,A,112 min,"Comedy, Crime, Drama",7.6
Giù la testa,1971,PG,157 min,"Drama, War, Western",7.6
Kelly's Heroes,1970,GP,144 min,"Adventure, Comedy, War",7.6
The Jungle Book,1967,U,78 min,"Animation, Adventure, Family",7.6
Blowup,1966,A,111 min,"Drama, Mystery, Thriller",7.6
A Hard Day's Night,1964,U,87 min,"Comedy, Music, Musical",7.6
Breakfast at Tiffany's,1961,A,115 min,"Comedy, Drama, Romance",7.6
Giant,1956,G,201 min,"Drama, Western",7.6
From Here to Eternity,1953,Passed,118 min,"Drama, Romance, War",7.6
Lifeboat,1944,,97 min,"Drama, War",7.6
The 39 Steps,1935,,86 min,"Crime, Mystery, Thriller",7.6
